"No","Pattern","Memory","Response"
"1","Greeting","0","プロデューサーさん、今日もよろしくお願いします。"
"2","Greeting","0","歌のレッスンは結構好きです。そんなに上手ではありませんが。"
"3","Greeting","0","今の私は物語にたとえるならば、まだ第一章のはじめでしょうか？"
"4","Greeting","0","私、運動が苦手だからダンスレッスンがある日はちょっぴり憂鬱です…。"
"5","Greeting","0","はぁ…すっごくステキなお話でした！この小説がドラマ化されたらモブでもいいから出演したいです！"
"6","Greeting","0","もしもお仕事に行く途中で帝都を震撼させる猟奇事件に巻き込まれたらどうしますか？"
"7","Greeting","0","はぁ… 人見知りを直す方法だけはブラッドベリも太宰もトールキンも教えてくれなかったんですよ…。"
"8","Greeting","0","今の私に必要なものは本棚です！　アイドルのお仕事を始めてからまた本が増えてしまって…。"
"9","Greeting","0","心待ちにしてた新刊が800ページ越えてたんです。読みおわるころには腕に筋肉がつきそう…。"
"10","Greeting","0","最近のブームで古典ミステリーや歴史物が復刊されてうれしいです！あとはファンタジーブームさえ来れば…！"
"11","Greeting","0","プロデューサーさん、今日はここで稽古をしてるので、何かあったら呼んでくださいね！"
"12","Greeting","0","ふわぁ…あ、すみません、昨日買った本の続きが気になってつい夜更かしを…。"
"1","Greeting","1","私、なんだか最近プロデューサーさんに運命を感じます。これって、もしかして、前世でなにか因縁が…？"
"2","Greeting","1","この小説、読めば読むほどヒーローがプロデューサーさんに似てる気がして… こっち見ないで！！　恋しますよ！？"
"3","Greeting","1","プロデューサーさん、お疲れでしたらお肩をおもみします！私、父から上手だってほめられるんですよ？"
"4","Greeting","1","プロデューサーさんからお借りした本、すっごく参考になりました！続編が出たら買っちゃうかも？"
"5","Greeting","1","プロデューサーさんに言われた通り、ダンスのレッスンも頑張ってますが、……長い目で見守ってください。"
"6","Greeting","1","プロデューサーさん、今日の営業、どの服を着ていけばいいでしょうか？プロのアドバイス、お願いします！"
"7","Greeting","1","アイドル雑誌に、名前が載りました！…自分の名前が活字になるのって妙にコーフンしちゃいますよね？"
"8","Greeting","1","…携帯はある、ハンカチもある、台本と文庫本と、お弁当と… よし大丈夫、プロデュ－サ－さん、行きましょう！"
"9","Greeting","1","以前、プロデュ－サ－さんと行った図書館カフェ、改装したそうですよ！今度の休みに行きましょう！"
"10","Greeting","1","プロデュ－サ－さん、お疲れだったらすぐに言ってくださいね！…ひ、膝枕ぐらいなら…ゴニョゴニョ。"
"1","Sales","0","…うぅ、お仕事で失敗した後のことを想像したら、すごく怖い想像になってしまいまいした…。"
"2","Sales","0","…風の戦士か……え？　あっ、すみません、妄想の世界に飛んでました。"
"3","Sales","0","あっ、今日の仕事場の近くに古本屋さんがあるみたいです。帰りに寄ってみませんか？"
"4","Sales","0","あの…すっごく緊張してます。プロデューサーさん、ちょっとだけ手を握ってもらえませんか？"
"5","Sales","0","いいですか、プロデューサーさん？もし私が何か変なことしてたら注意してくださいね？　ねっ？"
"6","Sales","0","もしも今日のお仕事を頑張れたらごほうびに図書館まで連れて行ってくれますか？"
"7","Sales","0","ダンスは苦手なんですけど、他の人が踊ってるのを見るのは好きです…ヘンですか？"
"8","Sales","0","プロデューサーさん、お仕事の前にちょっとだけ本屋さん覗いてもいいですか？"
"9","Sales","0","考えたことないですか？　もしも今火星人が襲来したらどう戦うべきかって… えっ、ないんですか？"
"10","Sales","0","初めて会う人とお話するのは緊張します。"
"11","Sales","0","…不思議です。体の底からふつふつと力がわいてくるみたいです！"
"12","Sales","0","ふっふっふ…図書室の暴走特急と恐れられた私の底力、見せる時が来たようですね！"
"13","Sales","0","今朝の星占いは運勢最高でした。お仕事上手くいくといいな…。"
"14","Sales","0","ダンスって優雅でお上品なものだと信じてましたが、実態は格闘技ですね… うぅ、今日も筋肉痛です…。"
"15","Sales","0","プロデューサーさんが今度の増築で劇場に大図書館を作ってくれたら、私、世界すら狙える気がします！"
"16","Sales","0","…はっ、いけない。疲れたせいか無意識に足が本屋さんに向かって歩き始めていました。"
"17","Sales","0","ファンレターを読むの、好きなんです。返信したら、また手紙が返ってきて、文通状態になってる人も。ふふっ。"
"18","Sales","0","プロデューサーさんが現場にいるのといないのでは、私の安心感が全然違うんです！…本当ですよ？"
"19","Sales","0","スタッフさんに、よく勉強してるってほめられちゃいました。今日はいけそうな気がします！"
"1","Sales","1","プロデューサーさんの愛読書、お聞きしてもいいですか？　私も読んでみたいです。"
"2","Sales","1","顔も名前も知らない人たちが私を応援してくれてる…ドラマチックです！ アイドルが私の天命だったりして？"
"3","Sales","1","プロデューサーさんはどんな衣装がお好みですか？　セクシー系？　キュート系？　私は…どっちも着てみたいです！"
"4","Sales","1","街でファンの方が声をかけてくれたけど、緊張してしまって… 度胸が売ってるお店があればいいのに。"
"5","Sales","1","プロデューサーさん、私も最近少しはアイドルオーラ出てきたと思いません？ あ、何で笑うんですかっ、もう！"
"6","Sales","1","自分なりのお仕事のコツが、最近わかってきた気がします。プロデューサーさんのおかげですねっ！"
"7","Sales","1","プロデューサーさん、私、すっごく頑張りました！　だ…だから、ごほうびに… うぅ、やっぱり無理です～！！"
"8","Sales","1","フフフ、驚きました？　私の殺陣、かなりよくなったでしょう？ ヒトは失敗を乗り越えて成長するモノなんです！"
"9","Sales","1","お芝居や歌のお仕事も好きですが最近、こういうお仕事も楽しいです…だってアイドルですから♪"
"10","Sales","1","…大丈夫です、まだ頑張れます！ あなたが育てたアイドルを信じて、最後まで見ていてください…！"
"1","Top","1","小説ならこれでハッピーエンドなんでしょうけど私とプロデューサーさんの戦いは続くんですね。そのことが私、今、すっごく嬉しいんです！"
"2","Top","1","私が自伝を書くときは、大好きなプロデューサーさんに捧ぐって一文を入れます！だから､安心してください！"
"3","Top","1","プロデューサーさん、私、毎日ドキドキしてます！本の山に埋もれてたら知らなかったはずのことばかり。ふたりで駆け抜けましょうね！"
"4","Top","1","プロデューサーさんは、大人の男性に恋しちゃう女の子ってどう思います？…え、ええっと、今度の役作りの参考にするので是非！"
"5","Top","1","…悔しいな。私に文才があれば、どれだけ私にプロデューサーさんが必要で、感謝してて、一緒にいたいと思ってるか、完璧に伝えられるのに！"
"6","Top","1","プロデューサーさんがドキドキするぐらい魅力的なアイドルになれたら、私の夢も叶いますよね？それまではずっと一緒にいてくださいね！"
"7","Top","1","私、ずっと現実の世界よりも、本の世界の方が好きでした。あ、今は違いますよ？だってプロデューサーさんは、本の中にはいませんから！"
"8","Top","1","トップアイドルになれば、プロデューサーさんを独り占めできたり…はっ、口に出ちゃってた！？プロデューサーさん、聞こえませんでしたよね？　ねっ！？"
"9","Top","1","私、もしも前世の恋人とか、選ばれし運命の半身が現れても、絶対にアイドルやめません！だから…ずっと隣にいても、いいですか？"
"10","Top","1","私の大好きな人は優秀なプロデューサーなので、その人につりあう最高のアイドルを目指そうと思います… えっ？ 紹介しろって…んもうっ！"
"11","Top","1","私、もし生まれ変わっても、プロデューサーさんのプロデュースで、トップアイドルを目指します。それ以外の人生は、もう想像できません！"